Coordinates,Attribute1,Attribute2,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,File
"((5, 2), (6, 2))",15,205.0,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((5, 4), (6, 4))",23,260.14492753623193,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((5, 5), (6, 5))",14,182.5,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((5, 5), (5, 6))",17,221.9607843137255,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((1, 2), (1, 3))",6,180.0,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((1, 3), (2, 3))",6,151.66666666666666,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((1, 3), (1, 4))",5,142.0,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((3, 2), (4, 2))",14,336.07142857142856,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((3, 3), (4, 3))",7,202.85714285714286,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((3, 4), (4, 4))",6,170.0,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((4, 2), (5, 2))",7,211.42857142857142,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((4, 4), (4, 5))",9,262.22222222222223,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((4, 5), (5, 5))",11,294.54545454545456,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((5, 1), (5, 2))",8,215.41666666666669,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((5, 4), (5, 5))",5,132.0,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((5, 5), (6, 5))",1909,791.706590336503,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((5, 5), (5, 6))",7,187.14285714285714,500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,board_n_1310.txt
"((0, 4), (1, 4))",21,430.1904761904762,500,2,2000,2,50203010605050205010405010206040505010603030306240503120401060102060306020305010503040603060303010,board_n_1476.txt
"((1, 1), (2, 1))",17,396.05882352941177,500,2,2000,2,50203010605050205010405010206040505010603030306240503120401060102060306020305010503040603060303010,board_n_1476.txt
"((1, 4), (2, 4))",14,352.5,500,2,2000,2,50203010605050205010405010206040505010603030306240503120401060102060306020305010503040603060303010,board_n_1476.txt
"((2, 3), (2, 4))",21,410.7460317460318,500,2,2000,2,50203010605050205010405010206040505010603030306240503120401060102060306020305010503040603060303010,board_n_1476.txt
"((2, 4), (3, 4))",20,422.1833333333334,500,2,2000,2,50203010605050205010405010206040505010603030306240503120401060102060306020305010503040603060303010,board_n_1476.txt
"((3, 5), (3, 6))",1907,759.4299323295128,500,2,2000,2,50203010605050205010405010206040505010603030306240503120401060102060306020305010503040603060303010,board_n_1476.txt
"((0, 1), (1, 1))",123,193.31707317073176,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((1, 3), (2, 3))",160,207.9,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((1, 4), (2, 4))",75,159.70666666666662,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((2, 0), (3, 0))",988,323.54540196645485,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((3, 0), (3, 1))",111,186.79279279279282,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((3, 1), (3, 2))",141,200.76832151300235,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((4, 3), (4, 4))",158,207.43037974683548,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((5, 3), (6, 3))",137,199.02189781021897,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((5, 5), (6, 5))",107,184.2990654205608,500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,board_n_2157.txt
"((0, 1), (1, 1))",154,197.99567099567096,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((0, 2), (1, 2))",87,161.18390804597706,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((0, 5), (1, 5))",98,169.1122448979592,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
