random,greedy,offline,mcts_base,mcts_fixed_depth,combined
1320,4260,7520,17880,8460,10140
2040,4660,2740,3480,10400,5840
1440,3380,1800,8000,2780,8980
1440,1800,1440,2860,2740,2340
1800,2040,9660,4520,2160,6540
1320,7360,2840,2660,5500,17000
2040,2400,2160,4420,4420,3940
1680,2380,2960,3020,4140,3300
3660,5020,3440,8980,14280,9920
2680,2640,5000,6700,9120,4680
1680,1800,2780,7600,2920,3480
1800,1680,15420,2040,7880,2140
1920,2560,1440,2080,10200,2640
3080,2980,17240,11040,5200,3920
3920,6980,3800,9700,3940,3140
1200,1680,2400,4800,2400,23880
3380,2040,2500,4720,3100,8740
1800,3840,2740,6240,7660,4960
1680,1880,2440,7580,3720,6620
2040,3000,2760,4220,16140,3800
1320,2900,7000,3020,10440,3400
2260,5000,1600,3620,9480,10540
1680,7460,12320,3620,4360,3820
3440,2560,5780,3800,5400,9620
2960,1800,8620,3820,2640,3800
1560,2760,8420,13580,3620,3660
6880,5540,4400,6920,7680,1680
1320,2840,3560,2020,3840,4780
7920,9900,8180,11300,16160,15580
1440,2640,1560,2860,2640,8040
1560,4620,4660,7680,2860,14340
2160,1560,2820,2240,21800,1960
7700,1920,2740,14520,7740,5140
2380,3320,2620,2280,4700,4180
1320,6920,1920,8540,16860,3820
1560,2540,14680,11340,7280,5240
1440,2160,1320,2500,9440,9460
1560,1680,1320,9200,8860,7980
1480,1560,1800,9940,21600,3500
1920,2060,7480,19720,4900,4200
1200,12000,4100,3000,2680,2980
1560,4660,3320,8960,23200,10440
1440,2200,1560,2040,4240,8580
3120,1920,2160,1840,2420,5360
1200,1920,1680,4800,2380,3400
7760,3940,8660,22080,9580,11000
1840,3620,2160,3740,6400,9840
3660,3760,17720,15680,4660,8520
2380,2540,1560,6140,3720,8600
1320,3480,2640,2040,2660,2280
3580,1440,5020,1920,12600,4540
1920,3460,1960,2860,7080,3860
2320,2160,1800,5560,2400,6280
1800,11320,1680,5600,4340,11780
1320,2400,1920,4660,7680,3260
1600,2040,3040,3920,3600,11260
1200,5160,2300,19860,9020,17720
1800,1680,4800,7600,11160,3100
2080,10260,14040,10480,15180,8640
1200,1680,1560,13680,10560,14820
1440,1800,11080,9320,8320,11220
2840,5260,2000,9000,7140,8760
1520,2160,4520,6480,12440,6040
1440,2760,2300,1720,6420,4060
1680,3360,3940,9320,2900,8640
8540,6440,2420,9040,9780,9560
2160,2400,1800,1920,1920,4420
2540,2040,3700,5420,8560,11780
1560,4920,1680,2680,3120,8120
2400,4260,1560,16080,3640,4640
1920,3300,3480,3280,5340,2700
1560,9680,9700,20040,8680,20340
4680,2160,1800,10960,8980,14740
1440,2380,8100,12220,4420,4880
1800,5920,4540,1440,3740,3320
1520,4420,4580,3580,3140,3840
1920,2400,1920,3340,8640,10860
1840,2900,1680,9900,2160,3520
1560,1920,1920,4060,3960,2980
2320,2980,2280,2900,5580,5820
1560,5020,2040,9320,4080,2400
1560,3200,2820,1720,1800,3240
1560,10640,3000,4640,12260,8800
1560,2900,1680,11720,10180,4340
2540,3080,2040,10240,25680,12260
1440,2440,1800,14540,3480,4000
3600,4600,3520,5820,6060,4240
1440,2160,2740,19120,3200,17120
1560,3120,1940,2840,3660,9660
1800,3600,1560,4880,2620,9700
2160,4200,3680,10360,3920,2860
2780,3000,3020,5320,7920,14520
1560,1800,3440,19960,5400,7460
1680,5680,5980,5200,5100,7180
1960,2160,4180,5140,4160,2860
2160,1800,10220,6780,2820,5800
2640,3820,5820,15920,3600,4040
2160,21360,2900,4900,2900,12000
2800,12540,9240,12520,4180,5100
3800,2160,2380,4640,5500,5300
1320,3420,2800,5120,3820,3800
1680,4840,7340,2160,4120,1920
1560,4980,2760,3580,14800,20560
1560,8220,1320,3800,4200,4500
8960,1680,1680,1600,8900,7240
3000,6280,1560,5480,8720,3900
1680,9300,4080,7860,2740,3060
1440,10380,16480,3180,3100,11580
1680,3460,1560,3400,4340,15500
1200,1720,3720,4060,10760,6100
1320,2620,5160,3000,2740,5440
1440,3340,1920,3600,7820,4580
1920,1320,7240,8620,1720,8080
2040,2640,3600,10060,12360,3360
2540,4140,7360,1440,2800,1720
1560,4640,1800,3060,11940,4660
2140,3440,3400,3800,5280,4320
2640,17320,4760,3980,5360,9700
3140,4520,1680,5020,1440,8380
1480,3700,4560,4520,5560,4020
2420,2860,5700,4440,7680,12460
1680,4760,1200,12080,4120,2380
3800,5140,8320,11300,3040,3400
1560,4400,8480,8540,3560,3360
1320,1920,2060,3800,1560,1560
1560,1920,7260,8760,9720,9800
1560,3640,2700,8760,6020,10520
3480,2280,1920,3860,3100,4440
1560,2860,1920,4460,2280,8300
7240,4340,3240,18640,3320,1800
1560,2400,2860,8900,16200,9900
2220,3640,8360,4740,9420,2400
1320,3640,2040,24500,9060,8900
3140,2760,4320,5440,3260,11580
2540,2520,3280,12740,10000,3940
