random,greedy,offline,mcts_base,mcts_fixed_depth,combined
1920,2160,2160,7000,4760,16700
3200,4100,2280,2920,4460,14740
3140,1680,7280,3100,2200,2620
1200,3240,19480,1920,1920,3480
3940,2760,2620,10980,20960,3900
1680,3080,1200,3520,3740,3960
2260,3340,2140,5160,4540,2540
3440,3100,1560,11160,5400,9640
1920,3500,1680,7260,8520,3120
2640,3580,10100,10160,15200,5240
1560,2640,1440,11160,11480,3180
1320,3480,2980,12080,13060,9480
2280,4160,3220,4600,5180,22340
1800,2740,2620,3580,14100,7060
1440,3660,7800,5940,3420,21700
2040,6080,1560,12140,8960,3600
1560,3620,1800,3680,3480,5420
1680,1680,7520,3100,2520,2400
3000,2640,4060,12220,8860,7580
2500,4920,5040,25440,9200,2760
1800,1920,3440,4480,16520,2320
1560,2160,12860,7540,4580,2640
1840,3260,1960,1800,11280,3700
1680,1920,3820,23280,2200,6840
1200,1800,1440,3300,2980,2420
7080,2660,1920,6120,6100,3380
1840,3800,6220,2780,2760,1920
2160,2780,7540,9380,10000,11600
1800,1920,2420,5360,2760,3280
3300,2160,1680,4300,2280,9400
2880,2400,2160,1920,4860,5040
2980,4240,3580,13680,11780,4220
1560,2180,1920,3260,5520,3400
1560,5620,1800,11060,5920,4320
1560,6000,2860,3000,8600,4260
2160,2980,16780,3600,6680,4560
2900,5140,8080,9080,4080,11360
1440,8400,2160,4500,7960,1920
1560,8300,1600,3820,12760,3020
2280,2160,2680,10660,2540,8380
1560,8280,4580,2420,21200,4740
2840,3900,3840,12340,4740,10480
1680,5080,4300,22680,8880,5560
2280,5960,2720,15260,11960,1920
2160,3860,3740,5920,9520,9820
8440,2520,3980,15160,4980,8320
1920,5940,5340,7000,4240,3280
1920,4380,3580,2420,10820,2880
1680,1800,4420,5100,5380,4000
3920,2520,13900,14300,11060,10100
1560,4760,1680,8220,3700,2260
3440,2920,9040,15060,22980,10960
1560,4280,8800,13180,9980,11480
2160,2640,7440,7860,14640,10180
1680,2660,3220,3600,11040,5080
2800,4000,1560,6760,24460,3680
1920,4080,2660,4680,6160,9940
1680,4420,4100,1920,4220,4600
1760,7600,3120,22680,3500,2400
1800,3620,4460,5860,10020,3400
1800,1920,1720,3260,3220,4820
1440,4820,8840,2580,21400,4140
1560,3480,1800,3080,13500,5080
1320,3620,2380,3380,5740,6580
1920,4960,5500,4200,3520,2780
2540,7060,4640,5840,4420,5100
1560,3500,2620,2600,9560,6000
1800,5320,2120,2740,8700,4600
2160,1800,7560,11400,4920,6460
1440,3380,1320,8060,5140,3620
1560,2900,2080,1800,2160,3660
1320,5740,1560,4200,7480,3000
6680,3940,3580,33240,11100,16160
3140,3720,3700,10180,4200,2860
1920,2520,2040,14700,4760,8300
3000,4700,5880,8820,11600,11300
1960,2400,3220,12540,3220,1920
2380,5320,3140,7140,9360,2640
1440,2280,4420,8060,3520,8980
1560,2160,4360,3020,3460,15420
2020,20120,1920,27500,16660,11740
3600,4760,6700,7740,9240,14560
2040,2160,4300,4620,1960,1680
2620,1920,2320,3540,2640,4080
3300,4860,10580,22420,15000,11980
5280,1560,3140,5960,3500,2700
2080,3020,2140,1960,5540,2860
1560,5360,2540,15940,4600,2980
1680,4740,9660,4540,15460,4040
1560,2400,1800,4920,4840,6780
1800,3100,6220,10320,8520,10300
1560,6040,2980,6100,14860,5220
1800,2760,3320,1920,2900,2560
1800,3960,3440,3300,9360,7060
7400,6800,6460,16020,5500,1320
2740,2960,3160,3020,13700,2900
2040,4540,7960,17900,11800,25060
1600,3140,2600,24800,7320,2660
1320,4960,1560,3200,10960,3860
1520,3100,4020,8800,10660,10180
1680,4760,2640,23680,9680,17800
1920,5040,3600,11180,7880,1920
1800,2200,2980,9460,13560,14720
3000,4000,2160,4860,5620,7240
4700,11340,1940,3420,5420,3500
1800,1560,3160,20840,6440,3560
1800,2400,1920,2440,10540,4320
1680,2660,2620,3720,13580,2860
1680,3460,8220,2740,2440,12260
1320,2700,1560,5520,6640,2760
3600,5960,3920,9440,5560,7920
1800,3480,1440,10780,3020,24000
2180,1560,2060,3600,4200,8900
3220,4200,1800,8220,4680,11440
2080,4200,10700,2420,3600,7960
2040,7200,2260,6340,1920,5780
1560,3020,8560,3400,4020,3760
1560,3220,4000,4520,1800,2400
2780,3700,2960,10780,3580,3720
1560,2640,6960,10860,10500,7980
2420,3840,1680,9380,4460,8880
1680,3460,4120,7960,2860,8400
1800,5000,1800,3320,19380,2980
1800,3620,1800,2040,11760,9800
1440,2620,8540,15880,7720,15780
2280,2160,3020,4720,4280,3240
2620,4540,3340,3960,14540,7900
1560,3880,1920,2160,10480,4220
2300,10360,2300,2580,4120,2400
3040,2620,4460,3200,22640,4680
1680,3220,1560,2400,8860,8820
1320,7520,1480,9580,5220,8260
1920,7520,2520,6420,1800,15840
1920,2400,2160,18440,16440,3960
3280,2780,2660,19320,9660,9700
2660,2920,3560,8260,3480,11640
1800,3120,19340,9120,3880,3280
1920,2160,2440,2040,16920,11220
7120,3760,6660,4200,5920,6120
1480,1800,5840,4000,3960,2780
1920,1960,2680,5960,7160,7000
1800,4080,11320,10320,7480,6780
1800,4640,3600,3400,4020,5560
2040,13460,3860,12060,5060,5120
1440,1920,6060,15840,9960,10820
1680,2640,2300,2900,9000,1920
1560,2620,2740,8700,11380,4720
1320,7520,5100,2420,1680,4640
2160,2560,14220,17760,10320,9020
1560,4180,3260,4900,10020,14100
2040,3000,8960,12580,9340,3560
2280,5060,2640,3000,9260,2640
1440,1800,4860,2160,13220,2280
2040,1440,2960,2780,3080,3260
1560,1800,2180,4420,3360,1800
2740,4280,3820,3480,3980,2160
2640,4400,2580,2720,1440,5060
2160,1920,1440,6140,4320,3840
1920,3180,4060,2160,3800,2960
1560,3580,2900,4100,16200,8980
1920,10500,2040,1820,9000,3360
1440,5740,1920,3600,2860,2900
2280,9280,7520,14200,9720,13200
1320,2400,6880,8160,15640,23860
2660,4020,1320,14360,3720,13900
4340,3100,9460,2620,7600,5380
1880,6480,2500,9440,8480,14320
2320,4320,5360,4220,4940,3000
3740,2720,3700,5220,10580,11380
2040,3440,9960,29000,10980,8640
4180,1800,9240,10140,14620,16040
2040,5620,4160,9880,3100,5320
1680,1560,1800,3220,2160,1680
1800,1920,2740,1440,3940,4540
1680,3680,1320,3700,3140,11560
1720,9180,2420,16100,10600,10360
3680,2500,4040,8140,6280,8960
1820,6880,4180,3720,6420,8800
1440,3140,1560,8200,8420,2860
2420,4900,8900,4280,3840,9220
3360,3500,3460,15500,10080,11780
4900,2560,2040,4720,2400,2160
2280,4480,7140,15860,4240,7380
2780,2740,5760,3980,7000,2380
1680,3260,1920,15180,4880,14940
1920,1560,9160,7360,10320,2520
2800,3400,3520,6640,11400,5660
2300,1560,3320,8740,2900,3340
1560,4240,4120,11120,4800,22420
1320,2740,2040,12920,11960,15480
2060,2280,2980,23600,9120,14480
3220,2640,2020,14140,2560,3080
1320,2400,3080,3120,4640,4620
1440,2960,7680,4220,2260,3860
2300,3860,8420,5280,6820,10380
2280,2180,1680,26040,2740,6780
5440,4920,6000,8740,4920,6000
2660,4180,1720,2660,1440,10800
1320,2040,4160,7600,8280,9340
1440,8520,1800,4100,3720,4660
1560,2520,2140,9600,4840,11460
2300,2660,1800,2860,3220,2300
1200,4000,2740,3140,2920,2060
1680,3320,5080,4180,4940,10860
