Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,Move_1_Coordinates,Move_1_Attribute1,Move_1_Attribute2,Move_2_Coordinates,Move_2_Attribute1,Move_2_Attribute2,Move_3_Coordinates,Move_3_Attribute1,Move_3_Attribute2,Move_4_Coordinates,Move_4_Attribute1,Move_4_Attribute2,Move_5_Coordinates,Move_5_Attribute1,Move_5_Attribute2,Move_6_Coordinates,Move_6_Attribute1,Move_6_Attribute2,Move_7_Coordinates,Move_7_Attribute1,Move_7_Attribute2,File,Move_8_Coordinates,Move_8_Attribute1,Move_8_Attribute2,Move_9_Coordinates,Move_9_Attribute1,Move_9_Attribute2,Move_10_Coordinates,Move_10_Attribute1,Move_10_Attribute2,Move_11_Coordinates,Move_11_Attribute1,Move_11_Attribute2,Move_12_Coordinates,Move_12_Attribute1,Move_12_Attribute2,Move_13_Coordinates,Move_13_Attribute1,Move_13_Attribute2,Move_14_Coordinates,Move_14_Attribute1,Move_14_Attribute2,Move_15_Coordinates,Move_15_Attribute1,Move_15_Attribute2,Move_16_Coordinates,Move_16_Attribute1,Move_16_Attribute2,Move_17_Coordinates,Move_17_Attribute1,Move_17_Attribute2,Move_18_Coordinates,Move_18_Attribute1,Move_18_Attribute2,Move_19_Coordinates,Move_19_Attribute1,Move_19_Attribute2,Move_20_Coordinates,Move_20_Attribute1,Move_20_Attribute2,Move_21_Coordinates,Move_21_Attribute1,Move_21_Attribute2,Move_22_Coordinates,Move_22_Attribute1,Move_22_Attribute2,Move_23_Coordinates,Move_23_Attribute1,Move_23_Attribute2
500,2,2000,2,40501030506020502060603020606010603040402010402050404020205020501060502050301020303050206050103010,"((1, 3), (1, 4))",14,208.92857142857142,"((1, 5), (1, 6))",1961.0,575.6390811296469,"((5, 3), (6, 3))",12.0,171.33333333333334,"((5, 3), (5, 4))",13.0,187.69230769230768,,,,,,,,,,board_n_1959.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30401050403010304050106010601060302020406020105060505010502060204030104030501030506010503040303040,"((3, 2), (3, 3))",135,156.13333333333333,"((4, 4), (4, 5))",140.0,158.02857142857138,"((5, 4), (5, 5))",1725.0,242.0001978375889,,,,,,,,,,,,,board_n_1781.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,40204020105050106040402010301030204040506040203060602040105050303040601040301020401020301040203010,"((0, 2), (0, 3))",29,168.62068965517244,"((1, 2), (2, 2))",28.0,165.0,"((1, 4), (2, 4))",25.0,151.6,"((2, 0), (3, 0))",37.0,192.48648648648648,"((2, 2), (2, 3))",28.0,160.78571428571428,"((3, 0), (4, 0))",1700.0,559.8737675070007,"((3, 2), (4, 2))",33.0,180.25252525252526,board_n_2288.txt,"((3, 5), (3, 6))",25.0,149.39999999999995,"((4, 2), (5, 2))",35.0,189.28571428571428,"((4, 2), (4, 3))",60.0,238.22222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,10401060401030602020603020604030204060503060201030102020103010102010602030506040603050603130504020,"((2, 1), (3, 1))",1650,443.65881192881284,"((2, 1), (2, 2))",34.0,212.84313725490196,"((2, 3), (2, 4))",38.0,226.44736842105263,"((3, 1), (3, 2))",36.0,223.33333333333334,"((3, 3), (4, 3))",29.0,196.82758620689654,"((3, 4), (4, 4))",44.0,243.030303030303,"((4, 0), (4, 1))",32.0,207.40625,board_n_736.txt,"((4, 4), (4, 5))",30.0,198.30000000000004,"((5, 1), (6, 1))",107.0,316.7133956386293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50104030102030205020306020105020101050603050502060504060305030503060306010402060602050602010201030,"((0, 0), (1, 0))",52,189.1153846153846,"((1, 0), (1, 1))",79.0,223.59493670886076,"((1, 1), (2, 1))",178.0,273.75093632958783,"((2, 0), (2, 1))",60.0,201.2,"((2, 1), (2, 2))",39.0,160.66666666666666,"((2, 5), (3, 5))",58.0,198.89655172413794,"((3, 5), (3, 6))",1287.0,352.39391472724833,board_n_1971.txt,"((4, 0), (4, 1))",82.0,226.2560975609756,"((4, 3), (4, 4))",62.0,204.48387096774192,"((5, 3), (6, 3))",103.0,242.88349514563106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,60403010301020602020505020403050101020205050602040103050301050406010604030102010201060204030405050,"((0, 5), (0, 6))",208,228.3239468864469,"((2, 4), (3, 4))",81.0,175.66666666666666,"((4, 4), (4, 5))",158.0,215.8987341772153,"((4, 5), (5, 5))",1553.0,333.3759920054184,,,,,,,,,,board_n_1965.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30204060105020604050501060104040305050202010301060206030101040406020205020605020103010105030105060,"((0, 1), (0, 2))",62,177.90322580645162,"((1, 2), (2, 2))",60.0,175.86666666666667,"((1, 4), (2, 4))",122.0,227.18032786885246,"((2, 4), (3, 4))",50.0,158.54000000000008,"((3, 1), (4, 1))",88.0,206.3409090909091,"((3, 2), (4, 2))",86.0,203.99224806201548,"((3, 4), (4, 4))",68.0,184.88235294117646,board_n_1756.txt,"((3, 4), (3, 5))",71.0,189.53521126760563,"((4, 4), (5, 4))",41.0,138.09756097560972,"((4, 4), (4, 5))",1283.0,335.7199272538325,"((5, 0), (6, 0))",69.0,186.97101449275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50203020305030206060205010303010601060406030503050206040202040205020101040604060101040603030503020,"((2, 5), (3, 5))",27,191.30864197530866,"((3, 4), (4, 4))",24.0,180.5,"((4, 2), (5, 2))",1925.0,573.6110987425243,"((4, 2), (4, 3))",24.0,179.16666666666666,,,,,,,,,,board_n_39.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50205020601060106040505020504060104030403030402050201060202060302030301060302040101020301040101020,"((0, 2), (1, 2))",6,125.0,"((1, 5), (1, 6))",8.0,185.625,"((3, 2), (4, 2))",16.0,312.0833333333333,"((3, 5), (4, 5))",6.0,148.33333333333334,"((4, 3), (4, 4))",1951.0,1147.52643333089,"((5, 3), (5, 4))",6.0,153.33333333333334,"((5, 4), (6, 4))",7.0,170.28571428571428,board_n_939.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30205050304040501050106010506050104030104030106050606030105040501060602040504030202040301040501050,"((1, 1), (2, 1))",39,189.6153846153846,"((1, 2), (2, 2))",1493.0,464.3274062024891,"((2, 1), (2, 2))",58.0,227.4655172413793,"((3, 2), (3, 3))",92.0,261.7608695652174,"((3, 4), (4, 4))",37.0,184.32432432432432,"((4, 2), (5, 2))",205.0,305.0471544715446,"((4, 2), (4, 3))",33.0,172.1212121212121,board_n_1030.txt,"((5, 2), (5, 3))",43.0,198.32558139534885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
